
esot500s          | AUC        | OP50       | OP75       | Precision    | Norm Precision    |
atom              | 39.83      | 39.51      | 10.02      | 46.70        | 33.46             |
atom              | 36.31      | 35.76      | 8.74       | 42.57        | 30.77             |
atom              | 40.55      | 42.08      | 10.96      | 47.35        | 35.91             |
atom              | 39.36      | 39.50      | 9.97       | 47.49        | 33.91             |
atom              | 35.07      | 35.13      | 8.44       | 39.65        | 30.01             |
atom_fe240        | 39.40      | 41.31      | 9.12       | 47.57        | 37.98             |
atom_fe240        | 39.52      | 41.36      | 9.12       | 45.59        | 37.75             |
atom_fe240        | 42.05      | 42.31      | 10.13      | 49.65        | 39.13             |
atom_fe240        | 39.51      | 39.27      | 9.41       | 46.04        | 36.79             |
atom_fe240        | 43.68      | 43.73      | 10.18      | 53.01        | 42.91             |
dimp18            | 42.75      | 42.06      | 11.89      | 51.52        | 39.25             |
dimp18            | 43.33      | 43.72      | 11.11      | 51.67        | 39.44             |
dimp18            | 42.52      | 42.60      | 11.70      | 50.18        | 38.92             |
dimp18            | 42.76      | 43.39      | 10.99      | 50.48        | 39.30             |
dimp18            | 41.26      | 41.16      | 10.64      | 50.52        | 38.10             |
dimp18_fe240      | 36.31      | 33.58      | 6.06       | 39.88        | 30.15             |
dimp18_fe240      | 36.77      | 33.96      | 5.96       | 40.37        | 30.49             |
dimp18_fe240      | 37.61      | 35.33      | 6.47       | 42.69        | 32.54             |
dimp18_fe240      | 35.15      | 32.26      | 5.53       | 38.81        | 29.60             |
dimp18_fe240      | 35.64      | 32.66      | 5.78       | 39.11        | 30.19             |
prdimp18          | 35.32      | 35.63      | 11.23      | 40.76        | 32.35             |
prdimp18          | 35.41      | 35.06      | 11.26      | 41.62        | 32.65             |
prdimp18          | 34.46      | 33.98      | 11.31      | 39.62        | 30.44             |
prdimp18          | 34.90      | 34.70      | 11.35      | 40.09        | 31.75             |
prdimp18          | 34.18      | 33.63      | 11.17      | 39.60        | 31.25             |
dimp50            | 44.36      | 46.26      | 13.26      | 52.94        | 41.30             |
dimp50            | 45.67      | 47.25      | 15.03      | 55.60        | 43.56             |
dimp50            | 43.55      | 45.16      | 13.87      | 51.25        | 40.75             |
dimp50            | 45.65      | 48.33      | 14.73      | 55.48        | 43.04             |
dimp50            | 44.63      | 46.61      | 14.11      | 53.51        | 42.38             |
kys               | 42.49      | 43.35      | 12.26      | 49.59        | 37.58             |
kys               | 42.66      | 43.27      | 12.35      | 49.23        | 38.39             |
kys               | 43.27      | 44.62      | 13.09      | 51.15        | 38.63             |
kys               | 46.02      | 47.41      | 13.99      | 54.45        | 42.57             |
kys               | 42.47      | 43.71      | 12.16      | 49.75        | 37.97             |
kys_fe240         | 42.41      | 43.27      | 12.35      | 48.46        | 37.73             |
kys_fe240         | 45.83      | 47.93      | 13.04      | 54.32        | 41.91             |
kys_fe240         | 42.13      | 42.57      | 11.98      | 49.06        | 37.08             |
kys_fe240         | 42.92      | 43.90      | 12.53      | 50.20        | 39.86             |
kys_fe240         | 42.42      | 43.65      | 12.54      | 49.41        | 38.29             |
rts50             | 38.91      | 38.40      | 11.86      | 47.22        | 38.22             |
rts50             | 37.92      | 37.28      | 10.69      | 45.78        | 36.95             |
rts50             | 37.74      | 37.27      | 10.93      | 45.48        | 37.06             |
rts50             | 38.68      | 37.46      | 11.16      | 46.31        | 37.91             |
rts50             | 37.99      | 37.40      | 10.53      | 45.54        | 36.68             |
keep_track        | 44.24      | 46.65      | 18.30      | 52.80        | 42.12             |
keep_track        | 44.57      | 47.12      | 17.92      | 53.57        | 43.30             |
keep_track        | 44.97      | 47.31      | 18.78      | 53.14        | 43.29             |
keep_track        | 44.34      | 46.77      | 17.78      | 52.66        | 42.31             |
keep_track        | 43.80      | 45.63      | 17.57      | 51.93        | 41.79             |
tomp50            | 48.20      | 55.18      | 21.47      | 57.65        | 49.31             |
tomp50            | 48.57      | 56.20      | 21.86      | 59.20        | 50.61             |
tomp50            | 48.55      | 55.54      | 21.97      | 58.76        | 49.70             |
tomp50            | 49.11      | 55.93      | 22.72      | 59.99        | 50.33             |
tomp50            | 48.47      | 55.52      | 22.01      | 58.70        | 49.95             |
