
esot500s          | AUC        | OP50       | OP75       | Precision    | Norm Precision    |
atom              | 39.53      | 39.03      | 9.54       | 46.19        | 33.27             |
atom              | 36.12      | 35.80      | 8.18       | 42.53        | 30.81             |
atom              | 40.39      | 42.16      | 10.09      | 47.59        | 35.83             |
atom              | 39.14      | 39.32      | 9.80       | 47.37        | 34.09             |
atom              | 34.84      | 34.84      | 7.88       | 39.69        | 29.70             |
atom_fe240        | 39.31      | 41.19      | 9.05       | 47.77        | 38.08             |
atom_fe240        | 39.42      | 41.60      | 8.99       | 45.64        | 37.90             |
atom_fe240        | 41.79      | 42.20      | 9.71       | 48.99        | 39.29             |
atom_fe240        | 39.41      | 39.22      | 9.11       | 46.26        | 37.35             |
atom_fe240        | 43.47      | 43.83      | 10.08      | 52.97        | 42.67             |
dimp18            | 42.51      | 42.25      | 11.29      | 51.13        | 38.67             |
dimp18            | 43.08      | 43.58      | 10.57      | 51.19        | 39.17             |
dimp18            | 42.29      | 42.50      | 11.51      | 49.88        | 39.15             |
dimp18            | 42.60      | 43.45      | 10.72      | 50.30        | 39.15             |
dimp18            | 40.99      | 40.68      | 10.03      | 49.99        | 37.98             |
dimp18_fe240      | 36.11      | 33.25      | 6.03       | 39.84        | 30.45             |
dimp18_fe240      | 36.53      | 33.63      | 5.66       | 40.13        | 30.40             |
dimp18_fe240      | 37.39      | 34.93      | 6.31       | 42.66        | 32.38             |
dimp18_fe240      | 34.85      | 31.83      | 5.24       | 38.61        | 29.30             |
dimp18_fe240      | 35.42      | 32.25      | 5.70       | 39.07        | 30.31             |
prdimp18          | 34.99      | 35.13      | 10.46      | 40.43        | 32.17             |
prdimp18          | 35.03      | 34.63      | 10.35      | 41.37        | 32.41             |
prdimp18          | 34.12      | 33.72      | 10.41      | 39.34        | 30.38             |
prdimp18          | 34.63      | 34.44      | 10.69      | 39.54        | 31.41             |
prdimp18          | 33.85      | 33.34      | 10.54      | 39.43        | 30.99             |
dimp50            | 44.12      | 46.07      | 13.12      | 52.75        | 41.24             |
dimp50            | 45.49      | 47.35      | 14.60      | 55.39        | 43.78             |
dimp50            | 43.28      | 45.21      | 13.37      | 51.02        | 40.69             |
dimp50            | 45.45      | 47.66      | 14.39      | 55.10        | 42.97             |
dimp50            | 44.33      | 46.27      | 13.72      | 53.20        | 41.87             |
kys               | 42.31      | 43.62      | 11.96      | 49.41        | 37.78             |
kys               | 42.41      | 43.45      | 11.88      | 49.16        | 38.24             |
kys               | 43.12      | 44.73      | 12.86      | 51.02        | 38.71             |
kys               | 45.85      | 47.46      | 13.49      | 54.18        | 42.22             |
kys               | 42.22      | 43.61      | 11.43      | 49.46        | 37.74             |
kys_fe240         | 42.22      | 43.29      | 12.06      | 48.48        | 37.66             |
kys_fe240         | 45.65      | 47.92      | 12.64      | 54.16        | 41.81             |
kys_fe240         | 41.98      | 42.71      | 11.60      | 48.97        | 36.80             |
kys_fe240         | 42.71      | 43.90      | 12.31      | 50.26        | 39.59             |
kys_fe240         | 42.27      | 43.80      | 12.07      | 49.48        | 38.19             |
rts50             | 38.60      | 37.94      | 11.24      | 46.64        | 38.14             |
rts50             | 37.68      | 36.90      | 10.40      | 45.56        | 36.87             |
rts50             | 37.45      | 36.87      | 10.42      | 45.56        | 36.93             |
rts50             | 38.35      | 37.50      | 10.63      | 46.40        | 38.05             |
rts50             | 37.74      | 37.32      | 10.22      | 45.41        | 37.21             |
keep_track        | 44.12      | 46.70      | 17.97      | 52.53        | 42.13             |
keep_track        | 44.44      | 47.13      | 17.57      | 53.49        | 43.02             |
keep_track        | 44.85      | 47.56      | 18.45      | 53.22        | 43.47             |
keep_track        | 44.21      | 46.89      | 17.69      | 52.48        | 42.16             |
keep_track        | 43.70      | 45.82      | 17.17      | 51.89        | 41.72             |
tomp50            | 48.01      | 55.24      | 21.09      | 57.43        | 49.38             |
tomp50            | 48.36      | 55.69      | 21.70      | 58.62        | 50.07             |
tomp50            | 48.25      | 55.04      | 21.73      | 58.44        | 49.69             |
tomp50            | 48.98      | 55.96      | 22.25      | 59.81        | 50.76             |
tomp50            | 48.29      | 55.67      | 21.76      | 58.41        | 49.88             |
