
esot500s          | AUC        | OP50       | OP75       | Precision    | Norm Precision    |
atom              | 39.51      | 38.98      | 9.51       | 46.18        | 33.22             |
atom              | 36.09      | 35.78      | 8.11       | 42.53        | 30.83             |
atom              | 40.37      | 42.14      | 10.10      | 47.60        | 35.81             |
atom              | 39.11      | 39.30      | 9.76       | 47.30        | 34.13             |
atom              | 34.82      | 34.85      | 7.89       | 39.66        | 29.67             |
atom_fe240        | 39.30      | 41.17      | 9.04       | 47.74        | 38.03             |
atom_fe240        | 39.41      | 41.62      | 8.94       | 45.62        | 37.90             |
atom_fe240        | 41.79      | 42.24      | 9.73       | 49.04        | 39.32             |
atom_fe240        | 39.38      | 39.18      | 9.08       | 46.20        | 37.22             |
atom_fe240        | 43.45      | 43.84      | 10.06      | 52.96        | 42.64             |
dimp18            | 42.48      | 42.19      | 11.23      | 51.09        | 38.65             |
dimp18            | 43.07      | 43.60      | 10.52      | 51.24        | 39.22             |
dimp18            | 42.27      | 42.50      | 11.42      | 49.90        | 39.12             |
dimp18            | 42.58      | 43.46      | 10.69      | 50.28        | 39.17             |
dimp18            | 40.95      | 40.68      | 10.00      | 49.90        | 37.90             |
dimp18_fe240      | 36.09      | 33.20      | 5.96       | 39.79        | 30.36             |
dimp18_fe240      | 36.50      | 33.63      | 5.60       | 40.13        | 30.32             |
dimp18_fe240      | 37.37      | 34.91      | 6.25       | 42.59        | 32.34             |
dimp18_fe240      | 34.84      | 31.84      | 5.19       | 38.56        | 29.25             |
dimp18_fe240      | 35.39      | 32.19      | 5.63       | 39.00        | 30.25             |
prdimp18          | 34.95      | 35.03      | 10.48      | 40.36        | 32.09             |
prdimp18          | 35.00      | 34.63      | 10.31      | 41.33        | 32.35             |
prdimp18          | 34.11      | 33.73      | 10.42      | 39.32        | 30.37             |
prdimp18          | 34.61      | 34.44      | 10.68      | 39.55        | 31.36             |
prdimp18          | 33.84      | 33.36      | 10.52      | 39.35        | 30.91             |
dimp50            | 44.11      | 46.12      | 13.08      | 52.74        | 41.22             |
dimp50            | 45.47      | 47.34      | 14.58      | 55.40        | 43.75             |
dimp50            | 43.25      | 45.19      | 13.31      | 51.00        | 40.67             |
dimp50            | 45.41      | 47.62      | 14.34      | 55.05        | 42.93             |
dimp50            | 44.31      | 46.23      | 13.72      | 53.12        | 41.86             |
kys               | 42.26      | 43.53      | 11.91      | 49.33        | 37.71             |
kys               | 42.39      | 43.41      | 11.79      | 49.13        | 38.16             |
kys               | 43.09      | 44.73      | 12.83      | 50.96        | 38.67             |
kys               | 45.83      | 47.43      | 13.49      | 54.18        | 42.16             |
kys               | 42.19      | 43.59      | 11.39      | 49.44        | 37.71             |
kys_fe240         | 42.20      | 43.29      | 12.04      | 48.44        | 37.65             |
kys_fe240         | 45.64      | 47.91      | 12.63      | 54.11        | 41.79             |
kys_fe240         | 41.95      | 42.78      | 11.54      | 48.93        | 36.82             |
kys_fe240         | 42.70      | 43.89      | 12.23      | 50.30        | 39.59             |
kys_fe240         | 42.26      | 43.78      | 12.03      | 49.45        | 38.12             |
rts50             | 38.57      | 37.87      | 11.21      | 46.60        | 38.12             |
rts50             | 37.66      | 36.86      | 10.32      | 45.55        | 36.89             |
rts50             | 37.42      | 36.85      | 10.34      | 45.48        | 36.93             |
rts50             | 38.33      | 37.49      | 10.59      | 46.39        | 38.02             |
rts50             | 37.73      | 37.33      | 10.22      | 45.39        | 37.21             |
keep_track        | 44.10      | 46.69      | 17.95      | 52.50        | 42.12             |
keep_track        | 44.42      | 47.14      | 17.57      | 53.43        | 43.02             |
keep_track        | 44.84      | 47.54      | 18.40      | 53.23        | 43.46             |
keep_track        | 44.17      | 46.81      | 17.64      | 52.42        | 42.09             |
keep_track        | 43.70      | 45.80      | 17.11      | 51.88        | 41.63             |
tomp50            | 47.98      | 55.20      | 21.01      | 57.43        | 49.35             |
tomp50            | 48.34      | 55.59      | 21.68      | 58.66        | 50.09             |
tomp50            | 48.23      | 55.03      | 21.66      | 58.43        | 49.68             |
tomp50            | 48.96      | 55.94      | 22.23      | 59.79        | 50.72             |
tomp50            | 48.29      | 55.68      | 21.73      | 58.42        | 49.94             |
