
esot500s          | AUC        | OP50       | OP75       | Precision    | Norm Precision    |
atom              | 39.58      | 39.10      | 9.75       | 46.30        | 33.36             |
atom              | 36.16      | 35.73      | 8.24       | 42.55        | 30.90             |
atom              | 40.42      | 42.17      | 10.19      | 47.63        | 35.80             |
atom              | 39.17      | 39.34      | 9.81       | 47.37        | 34.15             |
atom              | 34.92      | 34.93      | 7.99       | 39.66        | 29.80             |
atom_fe240        | 39.35      | 41.31      | 9.05       | 47.98        | 38.04             |
atom_fe240        | 39.39      | 41.54      | 8.86       | 45.54        | 37.90             |
atom_fe240        | 41.80      | 42.14      | 9.78       | 49.02        | 39.22             |
atom_fe240        | 39.45      | 39.26      | 9.22       | 46.25        | 37.38             |
atom_fe240        | 43.50      | 43.81      | 10.09      | 52.86        | 42.68             |
dimp18            | 42.56      | 42.27      | 11.41      | 51.41        | 38.84             |
dimp18            | 43.13      | 43.72      | 10.61      | 51.35        | 39.33             |
dimp18            | 42.33      | 42.55      | 11.62      | 50.09        | 39.10             |
dimp18            | 42.64      | 43.43      | 10.93      | 50.46        | 39.18             |
dimp18            | 41.06      | 40.83      | 10.20      | 50.12        | 38.06             |
dimp18_fe240      | 36.14      | 33.25      | 6.10       | 39.82        | 30.38             |
dimp18_fe240      | 36.58      | 33.78      | 5.60       | 40.01        | 30.43             |
dimp18_fe240      | 37.42      | 35.03      | 6.26       | 42.67        | 32.40             |
dimp18_fe240      | 34.88      | 31.96      | 5.24       | 38.65        | 29.30             |
dimp18_fe240      | 35.47      | 32.20      | 5.67       | 39.19        | 30.43             |
prdimp18          | 35.05      | 35.09      | 10.60      | 40.53        | 32.40             |
prdimp18          | 35.08      | 34.72      | 10.54      | 41.42        | 32.43             |
prdimp18          | 34.22      | 33.99      | 10.55      | 39.53        | 30.51             |
prdimp18          | 34.68      | 34.54      | 10.86      | 39.74        | 31.55             |
prdimp18          | 33.90      | 33.33      | 10.56      | 39.43        | 30.92             |
dimp50            | 44.15      | 46.13      | 13.26      | 52.76        | 41.29             |
dimp50            | 45.56      | 47.42      | 14.80      | 55.49        | 43.89             |
dimp50            | 43.32      | 45.21      | 13.54      | 51.20        | 40.70             |
dimp50            | 45.48      | 47.75      | 14.57      | 55.12        | 43.14             |
dimp50            | 44.35      | 46.33      | 13.93      | 53.26        | 42.02             |
kys               | 42.36      | 43.62      | 12.02      | 49.51        | 37.88             |
kys               | 42.45      | 43.49      | 11.91      | 49.21        | 38.28             |
kys               | 43.16      | 44.65      | 12.90      | 50.98        | 38.82             |
kys               | 45.88      | 47.44      | 13.63      | 54.30        | 42.29             |
kys               | 42.26      | 43.67      | 11.59      | 49.44        | 37.88             |
kys_fe240         | 42.28      | 43.30      | 12.20      | 48.56        | 37.75             |
kys_fe240         | 45.70      | 47.91      | 12.83      | 54.24        | 41.99             |
kys_fe240         | 41.98      | 42.62      | 11.71      | 48.88        | 36.89             |
kys_fe240         | 42.77      | 43.97      | 12.43      | 50.38        | 39.70             |
kys_fe240         | 42.32      | 43.86      | 12.08      | 49.65        | 38.35             |
rts50             | 38.64      | 38.02      | 11.30      | 46.44        | 38.25             |
rts50             | 37.68      | 36.76      | 10.44      | 45.50        | 36.85             |
rts50             | 37.50      | 36.93      | 10.54      | 45.51        | 37.00             |
rts50             | 38.38      | 37.51      | 10.74      | 46.27        | 38.07             |
rts50             | 37.80      | 37.43      | 10.29      | 45.49        | 37.22             |
keep_track        | 44.13      | 46.67      | 18.13      | 52.37        | 42.27             |
keep_track        | 44.40      | 47.00      | 17.59      | 53.43        | 43.05             |
keep_track        | 44.89      | 47.44      | 18.60      | 53.31        | 43.63             |
keep_track        | 44.21      | 46.87      | 17.71      | 52.56        | 42.30             |
keep_track        | 43.68      | 45.69      | 17.15      | 51.75        | 41.64             |
tomp50            | 48.05      | 55.23      | 21.21      | 57.59        | 49.38             |
tomp50            | 48.42      | 55.73      | 21.93      | 58.73        | 50.16             |
tomp50            | 48.24      | 54.88      | 21.77      | 58.40        | 49.61             |
tomp50            | 48.98      | 55.91      | 22.27      | 59.86        | 50.68             |
tomp50            | 48.33      | 55.60      | 21.78      | 58.53        | 49.88             |
